Patient_ID;Identity_number;Patient_full_name;Phone;Gender;Address
P000000001;079081002023;Nguyen Van A;0392002023;M;286 Ly Thuong Kiet, Ward 14, Dist 10, Ho Chi Minh City
P000000002;079069000123;Nguyen Van Tuan;0971882448;M;28 Thao Dien, Thao Dien Ward, Dist 2, Ho Chi Minh City 
P000000003;079169002020;Nguyen Thi Anh;0986862424;F;28 Thao Dien, Thao Dien Ward, Dist 2, Ho Chi Minh City 
P000000004;079159002023;Pham Thi Hong ;0391522251;F;80 Bui Vien, Pham Ngu Lao Ward, Dist 1, Ho Chi Minh City
P000000005;079056000189;Nguyen Van Manh;0848488448;M;28 Mai Ba Huong, Le Minh Xuan Commune, Binh Chanh Dist, Ho Chi Minh City
P000000006;072148000179;Pham Thi Thuy;0397221234;F;645 Su Van Hanh, Ward 12, Dist 10, Ho Chi Minh City
P000000007;075076000989;Ly Van Tam;0353535589;M;103 Vanh Dai Dai hoc Quoc Gia, Tan Lap Ward, Di An City, Binh Duong
P000000008;079172002134;Nguyen Thi Diep;0831234567;F;6 Alexandre De Rhodes, Ben Nghe Ward, Dist 1, Ho Chi Minh City
P000000009;079189005613;Nguyen Thi Thanh Hang;0350551241;F;171 Nam Ky Khoi Nghia, Ward 7, Dist 3, Ho Chi Minh City
P000000010;079066003079;Le Van Hai;0973031457;M;80 Tay Lan, Ba Diem Commune, Hoc Mon Dist, Ho Chi Minh City
P000000011;086180000256;Pham Thi Hong;0358786666;F;45 Luong Van Can, Ward 15, Dist 8, Ho Chi Minh City
P000000012;079203001229;Nguyen Phuoc Sang;0970491234;M;703 Nguyen Trai, Ward 11, Dist 5, Ho Chi Minh City
P000000013;079169000573;Nguyen Thi Hoa;0984801208;F;707 Nguyen Trai, Ward 11, Dist 5, Ho Chi Minh City
P000000014;079089001110;Pham Quoc Huy;0977468684;M;705 Nguyen Trai, Ward 11, Dist 5, Ho Chi Minh City
P000000015;079168002703;Nguyen Thi An;0970886164;F;166 Nam Ky Khoi Nghia, Ward 7, Dist 3, Ho Chi Minh City
P000000016;040082002026;Tran Van Bao;0837224466;M;255 Hai Thuong Lan Ong, Ward 14, Dist 5, Ho Chi Minh City
P000000017;074058003200;Nguyen Van Dung;0973685457;M;206 Nguyen Duy Trinh, Binh Trung Tay Ward, Thu Duc City, Ho Chi Minh City
P000000018;075076003450;Nguyen Le Ba Tu;0974442123;M;22 Lao Tu, Ward 11, Dist 5, Ho Chi Minh City
P000000019;088190000473;Tran Kim Duyen;0359221023;F;23 Lao Tu, Ward 11, Dist 5, Ho Chi Minh City
